id,firstname,lastname,email,address,country,creation_date,last_activity_date,gender,age_group,churn,canal
a8d9d2c7-e3a8-456a-b42d-bca22627d90e,Wanda,Cooley,schmidtrebecca@scott.com,USS Harris FPO AP 23410,USA,07-21-2021 00:00:00,06-04-2023 08:01:59,0.0,4.0,True,
6f94201c-ca73-4ca9-9b9b-57c2b8ac6a6b,Kevin,Evans,gonzalesjacqueline@rasmussen.biz,"907 Singh Turnpike Loriborough, DC 59235",SPAIN,07-31-2021 00:00:00,06-09-2023 04:37:39,0.0,3.0,True,WEBAPP
4c949043-c765-42f5-b5ce-698450bc33eb,Paul,Cruz,aaronford@villegas-morales.com,"646 Reyes Dale Apt. 857 Ronaldchester, PA 41913",SPAIN,07-29-2021 00:00:00,06-07-2023 13:12:44,1.0,3.0,True,WEBAPP
c9ffd11d-49b0-408e-ab9a-9e25db63df9b,Timothy,Castillo,patricia33@henderson-gould.info,"5928 Dunn Squares Bethland, VA 91900",SPAIN,08-10-2021 00:00:00,06-05-2023 15:13:46,0.0,4.0,False,WEBAPP
8e0445b3-d557-47f4-8fc1-df1816f233fc,Tina,Zavala,vmiller@kirby.com,"66243 Jay Manors Suite 779 Lake Jennifer, SC 26494",USA,07-20-2021 00:00:00,06-01-2023 11:13:06,1.0,8.0,True,PHONE
5b8e024e-922b-4262-aa36-1b3c77d999cf,Shawna,Mays,heathertaylor@mcdonald.com,"8273 Perry Manor West Allison, ME 23037",FR,08-09-2021 00:00:00,06-04-2023 17:41:18,1.0,1.0,False,PHONE
0663832b-82a4-439e-b85b-116bf2aa1da4,James,Harris,destiny89@haney.com,"59802 Davis Route Apt. 049 Thomasshire, NE 66471",USA,08-17-2021 00:00:00,06-02-2023 13:13:42,0.0,8.0,True,WEBAPP
ecc25641-be9b-4087-993e-fd818cf17fd7,Eric,Moore,ascott@cook.org,"55891 Moore Mountain Apt. 346 New Tiffany, NE 65536",FR,07-24-2021 00:00:00,06-06-2023 05:18:44,0.0,1.0,False,WEBAPP
4f24f540-6364-4a1b-a975-a760829c6a22,Angela,Tran,perezbrendan@patrick-ramirez.com,"86841 Justin Parkway Carterport, NJ 99608",FR,08-10-2021 00:00:00,06-06-2023 09:57:37,1.0,6.0,True,MOBILE
30621d4a-e60b-46a4-bba4-3e2174b1500d,Patrick,Reyes,matthew23@mccall.org,"60384 Curry Wells Edwardsville, TN 76894",USA,07-30-2021 00:00:00,06-04-2023 19:57:29,1.0,2.0,True,WEBAPP
1f7da1b3-e004-4827-afb5-bc3585b9ef38,Timothy,Castillo,patricia33@henderson-gould.info,"5928 Dunn Squares Bethland, VA 91900",SPAIN,08-10-2021 00:00:00,06-05-2023 15:13:46,1.0,4.0,True,WEBAPP
e31c4cd7-2bf4-454d-adf2-9df153514d1a,Andrea,Pierce,jmitchell@wood-peterson.com,"8302 Anderson Throughway Sandrabury, AK 20618",FR,08-09-2021 00:00:00,06-09-2023 17:08:30,1.0,8.0,True,MOBILE
cbd31b29-5798-499d-8068-286e07596426,Christina,Mendez,olivermegan@brown.com,"094 Andrew Spur Molinamouth, IL 32936",SPAIN,08-03-2021 00:00:00,06-06-2023 19:28:10,1.0,9.0,False,MOBILE
552c90d5-f76e-4ae1-8aae-159c3ac69b74,Andrew,Smith,lwhite@gibbs-salazar.biz,"666 Brandon Street Spencermouth, PW 92897",FR,08-10-2021 00:00:00,06-05-2023 10:12:31,0.0,6.0,False,WEBAPP
3ac87f41-d71d-447a-b5e5-4c5bb7c6b271,Tyler,Jimenez,anna49@white.info,"5362 Dickson Harbors Suite 615 Leblancmouth, MH 59888",FR,07-22-2021 00:00:00,06-05-2023 11:24:42,0.0,6.0,False,WEBAPP
168bdcb4-0235-421f-8639-abb4a2fbac3e,Nancy,Golden,nancyhubbard@garza.com,"509 Nicholas Unions Apt. 994 Barbaraberg, GU 30621",USA,08-12-2021 00:00:00,06-09-2023 09:49:58,0.0,9.0,True,PHONE
27c0c583-33e6-49f0-8f89-548c7cf816a7,Molly,Kane,abigailball@santos-sawyer.biz,"78623 Stacey Field Suite 305 West Rileyport, MH 12546",USA,07-26-2021 00:00:00,06-09-2023 04:24:56,1.0,6.0,True,PHONE
7fe7715c-4474-4908-8f8e-b1c25f590fc8,Wanda,Cooley,schmidtrebecca@scott.com,USS Harris FPO AP 23410,FR,07-21-2021 00:00:00,06-04-2023 08:01:59,1.0,10.0,True,
594e8b01-598e-4362-a4b5-e880b7d7fcaf,Ronald,Patterson,angela19@shaw.info,"37089 Michaela Passage Suite 794 East Jennahaven, IA 15214",SPAIN,09-09-2021 00:00:00,06-03-2023 03:09:07,0.0,6.0,False,WEBAPP
53959ab7-8648-4b01-9825-b91b39825136,Alexander,Smith,gabriellestewart@nguyen.biz,"0191 Jeffrey Ferry Brandonbury, WV 56664",SPAIN,09-08-2021 00:00:00,06-01-2023 03:15:24,1.0,3.0,True,WEBAPP
5a62a679-3c6b-4421-a6ca-42f5c46cca93,Colleen,Garrett,hmorris@tran.com,"0675 Ashley Corner Suite 078 North Thomasbury, PA 88952",FR,08-29-2021 00:00:00,06-06-2023 01:10:26,1.0,7.0,False,MOBILE
2789d17f-598d-46d9-8804-cc6160ee1020,Rodney,Henderson,angelalopez@humphrey.com,"21368 Michael Junction Suite 882 Port Michael, DE 48846",SPAIN,08-22-2021 00:00:00,06-02-2023 11:56:55,1.0,4.0,False,WEBAPP
337af43b-6652-4eac-9dce-104c76cca4b2,Erin,Frazier,brian87@lewis-dawson.com,USNV Nelson FPO AA 96407,SPAIN,08-30-2021 00:00:00,06-02-2023 01:15:04,0.0,6.0,True,PHONE
5fc74b3f-3900-4407-ad33-0aeb91734eec,Douglas,Thomas,vpalmer@edwards-castillo.biz,"0019 John Estate Suite 298 New Heather, AR 70201",USA,08-21-2021 00:00:00,06-09-2023 00:09:30,1.0,2.0,True,WEBAPP
87af1152-b5d0-40d3-bae6-def88fafdb7c,Kyle,Parker,gallegoslori@carrillo.biz,"22334 Stacey Valley Suite 296 Jasonland, WI 99608",SPAIN,09-15-2021 00:00:00,06-07-2023 22:45:56,1.0,10.0,True,WEBAPP
7cf903c6-1eca-4cc8-ba3f-17277244c43b,Donna,Keller,evansdawn@roberts-luna.org,"5379 Mathis Mill Apt. 155 Gibsonfurt, ND 97458",FR,09-04-2021 00:00:00,06-07-2023 16:13:31,0.0,5.0,False,PHONE
