id,firstname,lastname,email,address,canal,country,creation_date,last_activity_date,gender,age_group,churn
e95f366a-829f-4309-80bc-b9d0ad93f0e9,Gavin,Jackson,richard14@booth.com,"362 Thompson Spring Apt. 978 Port Bonnie, CT 58983",WEBAPP,USA,02-28-2015 00:00:00,06-06-2023 05:04:49,0.0,0.0,True
11c130c8-ea26-4ab7-802d-bc3acd16b255,Brooke,Larson,hartmandaniel@becker.com,"3278 Jessica Groves Port Benjamin, VA 11952",MOBILE,USA,08-18-2021 00:00:00,06-01-2023 15:39:23,1.0,7.0,True
62a54bd5-69cc-4d5f-92de-f108d674c19f,Nicole,Gilmore,ginasosa@torres.info,"1190 Mason Mall Matthewburgh, DE 07857",PHONE,USA,07-28-2021 00:00:00,06-08-2023 03:13:30,1.0,0.0,True
94118e04-58fc-4c96-ac34-6c53bca674b0,Ashley,Armstrong,matthew50@jackson.info,"32279 Roberta Vista Suite 794 South Brittany, MS 77487",MOBILE,SPAIN,08-11-2021 00:00:00,06-06-2023 05:40:51,1.0,9.0,False
8d80b4c7-9f1a-47ce-b388-c6108af187fc,Bobby,Williams,ohall@campbell-gutierrez.org,"7641 Shane Groves Apt. 921 North Michele, OK 81853",WEBAPP,USA,08-16-2021 00:00:00,06-01-2023 03:46:15,1.0,4.0,True
0a8b39c8-b546-41fe-ae18-cf19f8ddcf56,Gary,Jackson,charles53@garcia.com,"8351 Turner Inlet Suite 215 New Anthonyside, IN 71953",WEBAPP,FR,08-13-2021 00:00:00,06-04-2023 15:17:23,1.0,5.0,False
c8cebf9c-fa9b-41c0-928f-5ceb421bc1af,Robin,Mcintyre,toddmarks@duncan.org,"3530 Madden Expressway Brittanyport, ME 80994",PHONE,USA,07-27-2021 00:00:00,06-09-2023 08:51:04,1.0,6.0,True
7cf4eb8b-25ec-49d7-8727-f80836590230,Marissa,Wall,matthew96@miller.com,"68012 Tiffany Forges Mitchellberg, MN 48959",PHONE,USA,08-03-2021 00:00:00,06-04-2023 13:42:34,0.0,5.0,True
2c28c6f8-decf-42e2-b793-ae65c276f0fc,Courtney,Fuller,connie88@fowler.biz,"071 Kathryn Point Apt. 816 Davisshire, MO 45929",MOBILE,USA,08-14-2021 00:00:00,06-03-2023 21:00:57,0.0,4.0,True
8a77f440-f52e-43cb-a464-9d09bbb1601b,Julia,Paul,keith65@gonzalez.net,"05243 Sullivan Spur West Joannamouth, AR 13696",PHONE,FR,07-30-2021 00:00:00,06-03-2023 16:08:34,1.0,1.0,True
58c8e855-a65c-4d9d-9612-c923619c0962,Matthew,Morgan,rhodeschase@mejia-phelps.info,"29264 Karl Hill Apt. 330 Samuelview, NJ 06954",WEBAPP,SPAIN,08-11-2021 00:00:00,06-02-2023 09:49:01,0.0,3.0,True
112bc52b-80b9-459b-8db2-12f3fcdae60f,Kevin,Torres,svaughan@davidson.info,"888 Rachel Plains Suite 403 Romeroside, HI 23825",WEBAPP,USA,08-14-2021 00:00:00,06-01-2023 01:43:37,1.0,7.0,False
373a4570-f019-465e-bd13-7d9aefef1c26,Elizabeth,Ortega,marshstacy@serrano.info,"58280 Brittany Terrace Apt. 046 Lake Pamelatown, PA 72400",PHONE,FR,07-24-2021 00:00:00,06-08-2023 08:04:54,1.0,3.0,False
80b9d2de-8261-4503-b258-fa2c3a71ce13,Mark,Nguyen,gracemartin@middleton.info,"22815 Campos Union West Mary, GU 96842",WEBAPP,FR,08-02-2021 00:00:00,06-08-2023 00:22:40,1.0,7.0,True
06d76936-2d1a-46cf-951f-552e05686748,Tracy,Burns,amymartin@simmons-gomez.info,USS Gibson FPO AP 50611,WEBAPP,USA,08-05-2021 00:00:00,06-07-2023 01:55:46,0.0,9.0,False
9daa99d0-640b-4d94-8aaf-89dc44931530,Craig,Garcia,mikerobinson@goodwin.com,"PSC 2820, Box 2720 APO AA 37573",WEBAPP,USA,08-06-2021 00:00:00,06-06-2023 15:43:52,0.0,6.0,True
624d24a4-b480-48b5-816e-aa958521842b,Heather,Benson,hillcollin@thompson.net,"5215 Tyler Fort Apt. 772 South Gail, DC 03039",PHONE,USA,08-08-2021 00:00:00,06-05-2023 23:58:21,1.0,7.0,True
fc424c05-0840-4473-b821-762e3d63b32e,Bobby,Williams,ohall@campbell-gutierrez.org,"7641 Shane Groves Apt. 921 North Michele, OK 81853",WEBAPP,FR,08-16-2021 00:00:00,06-01-2023 03:46:15,1.0,2.0,True
7ae06e93-8eee-4fc7-89cd-bbe15f4fed76,Robin,Mcintyre,toddmarks@duncan.org,"3530 Madden Expressway Brittanyport, ME 80994",PHONE,SPAIN,07-27-2021 00:00:00,06-09-2023 08:51:04,0.0,2.0,False
97e4a3dd-84b6-45e0-9f20-859afc124f60,Chad,Jones,zsanchez@hill.net,"0104 Lee Key New Kenneth, IN 99522",WEBAPP,FR,08-12-2021 00:00:00,06-09-2023 06:28:15,1.0,6.0,False
cafad961-fddf-457e-a6f6-11310b3630d5,Brandy,Silva,fredbradshaw@austin.biz,Unit 0400 Box 9837 DPO AA 79304,MOBILE,USA,09-09-2021 00:00:00,06-09-2023 04:16:59,0.0,3.0,True
930a192b-3b3e-4631-b3cc-512daf8b8a5c,Eric,Hernandez,james66@thornton.com,"7524 Cheryl Meadows Clarkefort, NC 57256",WEBAPP,USA,09-08-2021 00:00:00,06-06-2023 19:36:01,0.0,7.0,True
8d34c75f-dad6-42e1-b317-90fb84819acc,Donna,Guerrero,vharris@wilcox.net,"65796 Kristi Ville Suite 130 Cardenasborough, WI 87719",PHONE,USA,08-26-2021 00:00:00,06-02-2023 01:33:24,0.0,5.0,True
9d534d28-0c6b-476c-a079-e880fc38ccd4,Molly,Kane,abigailball@santos-sawyer.biz,"78623 Stacey Field Suite 305 West Rileyport, MH 12546",PHONE,USA,08-25-2021 00:00:00,06-09-2023 04:24:56,1.0,4.0,True
9b51770b-35da-48db-9410-95d3fbf537dc,Crystal,Soto,melissasmith@blankenship.com,"031 Daniel Valleys Joshuaport, PW 85342",MOBILE,FR,09-01-2021 00:00:00,06-02-2023 05:51:21,1.0,1.0,True
9d03fa01-4c87-42c5-acc3-986bfa99fdb7,Bobby,Williams,ohall@campbell-gutierrez.org,"7641 Shane Groves Apt. 921 North Michele, OK 81853",WEBAPP,FR,09-15-2021 00:00:00,06-01-2023 03:46:15,1.0,2.0,True
93623aa4-3538-4843-9e31-6f08f5e03c35,James,Gonzalez,opatterson@moore.biz,"58770 Cathy Station Suite 272 Huertaland, WV 24449",WEBAPP,SPAIN,09-06-2021 00:00:00,06-05-2023 18:15:01,1.0,2.0,True
a533bdd3-2465-4e97-b4c9-9b48015818f2,Christopher,Miller,cynthia55@taylor.net,"552 Carolyn Drive South Deborah, PW 61621",WEBAPP,SPAIN,09-15-2021 00:00:00,06-03-2023 19:38:08,1.0,6.0,True
f11cae04-d2c8-4ad0-ac91-ff979dfc52e2,Jacob,Lopez,heatherbarnett@johnson.com,"978 Smith Club West Williamton, AL 30130",WEBAPP,USA,08-19-2021 00:00:00,06-05-2023 14:16:11,0.0,2.0,True
0df04f20-47cb-437b-9e95-b31fdea7fbb7,Ashley,Armstrong,matthew50@jackson.info,"32279 Roberta Vista Suite 794 South Brittany, MS 77487",MOBILE,SPAIN,09-10-2021 00:00:00,06-06-2023 05:40:51,1.0,2.0,True
